ProductID,ChannelID,LocationID,Method,Period,StartDate,EndDate,Type,Qty,Level 
AztecWrap,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,18.36319,111
AztecWrap,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,1/3/25,1/3/25,1,17.801208,111
AztecWrap,Thuisbezorgd,StoreNijmegenCenter,XGBoost,Daily,2/3/25,2/3/25,1,18.880852,111
PizzaRoma,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,14.898877,111
PizzaRoma,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,18.515896,111
PizzaRoma,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,15.172927,111
PizzaRoma,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,17.599941,111
PizzaRoma,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.100607,111
PizzaRoma,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,14.473197,111
PizzaRoma,OwnWebsite,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.679115,111
PizzaRoma,Pickup,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,19.090948,111
PizzaRoma,Pickup,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,17.195438,111
PizzaRoma,Pickup,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,14.173047,111
PizzaRoma,Pickup,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,13.948005,111
PizzaRoma,Pickup,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.774925,111
PizzaRoma,Pickup,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,15.952789,111
PizzaRoma,Pickup,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,17.549501,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,24/02/2025,24/02/2025,1,19.116762,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,25/02/2025,25/02/2025,1,18.638014,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,26/02/2025,26/02/2025,1,21.660337,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,27/02/2025,27/02/2025,1,15.142491,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,28/02/2025,28/02/2025,1,16.911913,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,1/3/25,1/3/25,1,16.12454,111
PizzaRoma,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Daily,2/3/25,2/3/25,1,16.148188,111
PizzaRoma,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,24/02/2025,24/02/2025,1,16.104359,111
PizzaRoma,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,25/02/2025,25/02/2025,1,17.652822,111
PizzaRoma,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,26/02/2025,26/02/2025,1,18.909,111
PizzaRoma,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,27/02/2025,27/02/2025,1,19.284336,111
PizzaRoma,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,28/02/2025,28/02/2025,1,15.425358,111
PizzaRoma,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,1/3/25,1/3/25,1,19.791077,111
PizzaRoma,OwnWebsite,StoreAmsterdamZuid,XGBoost,Daily,2/3/25,2/3/25,1,16.48242,111
PizzaRoma,Pickup,StoreAmsterdamZuid,XGBoost,Daily,24/02/2025,24/02/2025,1,14.8344,111
